0 ('/setup.py', 'module_initializer', '__metaclass__')
1759 ('/lib/ansible/modules/user.py', 'module_initializer', 'RETURN')
1760 ('/lib/ansible/modules/user.py', 'module_initializer', 'HAVE_SPWD')
1761 ('/lib/ansible/modules/user.py', 'module_initializer', '_HASH_RE')
1762 ('/lib/ansible/modules/user.py', 'User_class_initializer', 'platform')
1763 ('/lib/ansible/modules/user.py', 'User_class_initializer', 'distribution')
1764 ('/lib/ansible/modules/user.py', 'User_class_initializer', 'PASSWORDFILE')
1765 ('/lib/ansible/modules/user.py', 'User_class_initializer', 'SHADOWFILE')
1766 ('/lib/ansible/modules/user.py', 'User_class_initializer', 'SHADOWFILE_EXPIRE_INDEX')
1767 ('/lib/ansible/modules/user.py', 'User_class_initializer', 'LOGIN_DEFS')
1768 ('/lib/ansible/modules/user.py', 'User_class_initializer', 'DATE_FORMAT')
1769 ('/lib/ansible/modules/user.py', 'FreeBsdUser_class_initializer', 'platform')
1770 ('/lib/ansible/modules/user.py', 'FreeBsdUser_class_initializer', 'distribution')
1771 ('/lib/ansible/modules/user.py', 'FreeBsdUser_class_initializer', 'SHADOWFILE')
1772 ('/lib/ansible/modules/user.py', 'FreeBsdUser_class_initializer', 'SHADOWFILE_EXPIRE_INDEX')
1773 ('/lib/ansible/modules/user.py', 'FreeBsdUser_class_initializer', 'DATE_FORMAT')
1774 ('/lib/ansible/modules/user.py', 'DragonFlyBsdUser_class_initializer', 'platform')
1775 ('/lib/ansible/modules/user.py', 'OpenBSDUser_class_initializer', 'platform')
1776 ('/lib/ansible/modules/user.py', 'OpenBSDUser_class_initializer', 'distribution')
1777 ('/lib/ansible/modules/user.py', 'OpenBSDUser_class_initializer', 'SHADOWFILE')
1778 ('/lib/ansible/modules/user.py', 'NetBSDUser_class_initializer', 'platform')
1779 ('/lib/ansible/modules/user.py', 'NetBSDUser_class_initializer', 'distribution')
1780 ('/lib/ansible/modules/user.py', 'NetBSDUser_class_initializer', 'SHADOWFILE')
1781 ('/lib/ansible/modules/user.py', 'SunOS_class_initializer', 'platform')
1782 ('/lib/ansible/modules/user.py', 'SunOS_class_initializer', 'distribution')
1783 ('/lib/ansible/modules/user.py', 'SunOS_class_initializer', 'SHADOWFILE')
1784 ('/lib/ansible/modules/user.py', 'SunOS_class_initializer', 'USER_ATTR')
1785 ('/lib/ansible/modules/user.py', 'DarwinUser_class_initializer', 'platform')
1786 ('/lib/ansible/modules/user.py', 'DarwinUser_class_initializer', 'distribution')
1787 ('/lib/ansible/modules/user.py', 'DarwinUser_class_initializer', 'SHADOWFILE')
1788 ('/lib/ansible/modules/user.py', 'DarwinUser_class_initializer', 'dscl_directory')
1789 ('/lib/ansible/modules/user.py', 'DarwinUser_class_initializer', 'fields')
1790 ('/lib/ansible/modules/user.py', 'AIX_class_initializer', 'platform')
1791 ('/lib/ansible/modules/user.py', 'AIX_class_initializer', 'distribution')
1792 ('/lib/ansible/modules/user.py', 'AIX_class_initializer', 'SHADOWFILE')
1793 ('/lib/ansible/modules/user.py', 'HPUX_class_initializer', 'platform')
1794 ('/lib/ansible/modules/user.py', 'HPUX_class_initializer', 'distribution')
1795 ('/lib/ansible/modules/user.py', 'HPUX_class_initializer', 'SHADOWFILE')
1796 ('/lib/ansible/modules/user.py', 'Alpine_class_initializer', 'platform')
1797 ('/lib/ansible/modules/user.py', 'Alpine_class_initializer', 'distribution')
1798 ('/lib/ansible/modules/expect.py', 'module_initializer', '__metaclass__')
1799 ('/lib/ansible/modules/expect.py', 'module_initializer', 'DOCUMENTATION')
1800 ('/lib/ansible/modules/expect.py', 'module_initializer', 'EXAMPLES')
1801 ('/lib/ansible/modules/expect.py', 'module_initializer', 'PEXPECT_IMP_ERR')
1802 ('/lib/ansible/modules/expect.py', 'module_initializer', 'HAS_PEXPECT')
1803 ('/lib/ansible/modules/git.py', 'module_initializer', '__metaclass__')
1804 ('/lib/ansible/modules/git.py', 'module_initializer', 'DOCUMENTATION')
1805 ('/lib/ansible/modules/git.py', 'module_initializer', 'EXAMPLES')
1806 ('/lib/ansible/modules/git.py', 'module_initializer', 'RETURN')
1807 ('/lib/ansible/modules/add_host.py', 'module_initializer', '__metaclass__')
1808 ('/lib/ansible/modules/add_host.py', 'module_initializer', 'DOCUMENTATION')
1809 ('/lib/ansible/modules/add_host.py', 'module_initializer', 'EXAMPLES')
1810 ('/lib/ansible/modules/wait_for.py', 'module_initializer', '__metaclass__')
1811 ('/lib/ansible/modules/wait_for.py', 'module_initializer', 'DOCUMENTATION')
1812 ('/lib/ansible/modules/wait_for.py', 'module_initializer', 'EXAMPLES')
1813 ('/lib/ansible/modules/wait_for.py', 'module_initializer', 'RETURN')
1814 ('/lib/ansible/modules/wait_for.py', 'module_initializer', 'HAS_PSUTIL')
1815 ('/lib/ansible/modules/wait_for.py', 'module_initializer', 'PSUTIL_IMP_ERR')
1816 ('/lib/ansible/modules/wait_for.py', 'TCPConnectionInfo_class_initializer', 'platform')
1817 ('/lib/ansible/modules/wait_for.py', 'TCPConnectionInfo_class_initializer', 'distribution')
1818 ('/lib/ansible/modules/wait_for.py', 'TCPConnectionInfo_class_initializer', 'match_all_ips')
1819 ('/lib/ansible/modules/wait_for.py', 'TCPConnectionInfo_class_initializer', 'ipv4_mapped_ipv6_address')
1820 ('/lib/ansible/modules/wait_for.py', 'LinuxTCPConnectionInfo_class_initializer', 'platform')
1821 ('/lib/ansible/modules/wait_for.py', 'LinuxTCPConnectionInfo_class_initializer', 'distribution')
1822 ('/lib/ansible/modules/wait_for.py', 'LinuxTCPConnectionInfo_class_initializer', 'source_file')
1823 ('/lib/ansible/modules/wait_for.py', 'LinuxTCPConnectionInfo_class_initializer', 'match_all_ips')
1824 ('/lib/ansible/modules/wait_for.py', 'LinuxTCPConnectionInfo_class_initializer', 'ipv4_mapped_ipv6_address')
1825 ('/lib/ansible/modules/wait_for.py', 'LinuxTCPConnectionInfo_class_initializer', 'local_address_field')
1826 ('/lib/ansible/modules/wait_for.py', 'LinuxTCPConnectionInfo_class_initializer', 'remote_address_field')
1827 ('/lib/ansible/modules/wait_for.py', 'LinuxTCPConnectionInfo_class_initializer', 'connection_state_field')
1828 ('/lib/ansible/modules/command.py', 'module_initializer', '__metaclass__')
1829 ('/lib/ansible/modules/command.py', 'module_initializer', 'DOCUMENTATION')
1830 ('/lib/ansible/modules/command.py', 'module_initializer', 'EXAMPLES')
1831 ('/lib/ansible/modules/command.py', 'module_initializer', 'RETURN')
1832 ('/lib/ansible/modules/apt_repository.py', 'module_initializer', '__metaclass__')
1833 ('/lib/ansible/modules/apt_repository.py', 'module_initializer', 'DOCUMENTATION')
1834 ('/lib/ansible/modules/apt_repository.py', 'module_initializer', 'EXAMPLES')
1835 ('/lib/ansible/modules/apt_repository.py', 'module_initializer', 'distro')
1836 ('/lib/ansible/modules/apt_repository.py', 'module_initializer', 'HAVE_PYTHON_APT')
1837 ('/lib/ansible/modules/apt_repository.py', 'module_initializer', 'PYTHON_APT')
1838 ('/lib/ansible/modules/apt_repository.py', 'module_initializer', 'DEFAULT_SOURCES_PERM')
1839 ('/lib/ansible/modules/apt_repository.py', 'module_initializer', 'VALID_SOURCE_TYPES')
1840 ('/lib/ansible/modules/apt_repository.py', 'UbuntuSourcesList_class_initializer', 'LP_API')
1841 ('/lib/ansible/modules/raw.py', 'module_initializer', '__metaclass__')
1842 ('/lib/ansible/modules/raw.py', 'module_initializer', 'DOCUMENTATION')
1843 ('/lib/ansible/modules/raw.py', 'module_initializer', 'EXAMPLES')
1844 ('/lib/ansible/modules/wait_for_connection.py', 'module_initializer', '__metaclass__')
1845 ('/lib/ansible/modules/wait_for_connection.py', 'module_initializer', 'DOCUMENTATION')
1846 ('/lib/ansible/modules/wait_for_connection.py', 'module_initializer', 'EXAMPLES')
1847 ('/lib/ansible/modules/wait_for_connection.py', 'module_initializer', 'RETURN')
1848 ('/lib/ansible/modules/yum_repository.py', 'module_initializer', '__metaclass__')
1849 ('/lib/ansible/modules/yum_repository.py', 'module_initializer', 'DOCUMENTATION')
1850 ('/lib/ansible/modules/yum_repository.py', 'module_initializer', 'EXAMPLES')
1851 ('/lib/ansible/modules/yum_repository.py', 'module_initializer', 'RETURN')
1852 ('/lib/ansible/modules/yum_repository.py', 'YumRepo_class_initializer', 'module')
1853 ('/lib/ansible/modules/yum_repository.py', 'YumRepo_class_initializer', 'params')
1854 ('/lib/ansible/modules/yum_repository.py', 'YumRepo_class_initializer', 'section')
1855 ('/lib/ansible/modules/yum_repository.py', 'YumRepo_class_initializer', 'repofile')
1856 ('/lib/ansible/modules/yum_repository.py', 'YumRepo_class_initializer', 'allowed_params')
1857 ('/lib/ansible/modules/yum_repository.py', 'YumRepo_class_initializer', 'list_params')
1858 ('/lib/ansible/modules/package_facts.py', 'module_initializer', '__metaclass__')
1859 ('/lib/ansible/modules/package_facts.py', 'module_initializer', 'DOCUMENTATION')
1860 ('/lib/ansible/modules/package_facts.py', 'module_initializer', 'EXAMPLES')
1861 ('/lib/ansible/modules/package_facts.py', 'module_initializer', 'RETURN')
1862 ('/lib/ansible/modules/package_facts.py', 'RPM_class_initializer', 'LIB')
1863 ('/lib/ansible/modules/package_facts.py', 'APT_class_initializer', 'LIB')
1864 ('/lib/ansible/modules/package_facts.py', 'PACMAN_class_initializer', 'CLI')
1865 ('/lib/ansible/modules/package_facts.py', 'PKG_class_initializer', 'CLI')
1866 ('/lib/ansible/modules/package_facts.py', 'PKG_class_initializer', 'atoms')
1867 ('/lib/ansible/modules/package_facts.py', 'PORTAGE_class_initializer', 'CLI')
1868 ('/lib/ansible/modules/package_facts.py', 'PORTAGE_class_initializer', 'atoms')
1869 ('/lib/ansible/modules/package_facts.py', 'APK_class_initializer', 'CLI')
1870 ('/lib/ansible/modules/debconf.py', 'module_initializer', '__metaclass__')
1871 ('/lib/ansible/modules/debconf.py', 'module_initializer', 'DOCUMENTATION')
1872 ('/lib/ansible/modules/debconf.py', 'module_initializer', 'EXAMPLES')
1873 ('/lib/ansible/modules/systemd.py', 'module_initializer', '__metaclass__')
1874 ('/lib/ansible/modules/systemd.py', 'module_initializer', 'DOCUMENTATION')
1875 ('/lib/ansible/modules/systemd.py', 'module_initializer', 'EXAMPLES')
1876 ('/lib/ansible/modules/systemd.py', 'module_initializer', 'RETURN')
1877 ('/lib/ansible/modules/cron.py', 'module_initializer', '__metaclass__')
1878 ('/lib/ansible/modules/cron.py', 'module_initializer', 'DOCUMENTATION')
1879 ('/lib/ansible/modules/cron.py', 'module_initializer', 'EXAMPLES')
1880 ('/lib/ansible/modules/getent.py', 'module_initializer', '__metaclass__')
1881 ('/lib/ansible/modules/getent.py', 'module_initializer', 'DOCUMENTATION')
1882 ('/lib/ansible/modules/getent.py', 'module_initializer', 'EXAMPLES')
1883 ('/lib/ansible/modules/include_tasks.py', 'module_initializer', '__metaclass__')
1884 ('/lib/ansible/modules/include_tasks.py', 'module_initializer', 'DOCUMENTATION')
1885 ('/lib/ansible/modules/include_tasks.py', 'module_initializer', 'EXAMPLES')
1886 ('/lib/ansible/modules/include_tasks.py', 'module_initializer', 'RETURN')
1887 ('/lib/ansible/modules/shell.py', 'module_initializer', '__metaclass__')
1888 ('/lib/ansible/modules/shell.py', 'module_initializer', 'DOCUMENTATION')
1889 ('/lib/ansible/modules/shell.py', 'module_initializer', 'EXAMPLES')
1890 ('/lib/ansible/modules/shell.py', 'module_initializer', 'RETURN')
1891 ('/lib/ansible/modules/gather_facts.py', 'module_initializer', '__metaclass__')
1892 ('/lib/ansible/modules/gather_facts.py', 'module_initializer', 'DOCUMENTATION')
1893 ('/lib/ansible/modules/gather_facts.py', 'module_initializer', 'RETURN')
1894 ('/lib/ansible/modules/gather_facts.py', 'module_initializer', 'EXAMPLES')
1895 ('/lib/ansible/modules/import_tasks.py', 'module_initializer', '__metaclass__')
1896 ('/lib/ansible/modules/import_tasks.py', 'module_initializer', 'DOCUMENTATION')
1897 ('/lib/ansible/modules/import_tasks.py', 'module_initializer', 'EXAMPLES')
1898 ('/lib/ansible/modules/import_tasks.py', 'module_initializer', 'RETURN')
1899 ('/lib/ansible/modules/group_by.py', 'module_initializer', '__metaclass__')
1900 ('/lib/ansible/modules/group_by.py', 'module_initializer', 'DOCUMENTATION')
1901 ('/lib/ansible/modules/group_by.py', 'module_initializer', 'EXAMPLES')
1902 ('/lib/ansible/modules/copy.py', 'module_initializer', '__metaclass__')
1903 ('/lib/ansible/modules/copy.py', 'module_initializer', 'DOCUMENTATION')
1904 ('/lib/ansible/modules/copy.py', 'module_initializer', 'EXAMPLES')
1905 ('/lib/ansible/modules/copy.py', 'module_initializer', 'RETURN')
1906 ('/lib/ansible/modules/copy.py', 'module_initializer', 'module')
1907 ('/lib/ansible/modules/assert.py', 'module_initializer', '__metaclass__')
1908 ('/lib/ansible/modules/assert.py', 'module_initializer', 'DOCUMENTATION')
1909 ('/lib/ansible/modules/assert.py', 'module_initializer', 'EXAMPLES')
1910 ('/lib/ansible/modules/include_vars.py', 'module_initializer', '__metaclass__')
1911 ('/lib/ansible/modules/include_vars.py', 'module_initializer', 'DOCUMENTATION')
1912 ('/lib/ansible/modules/include_vars.py', 'module_initializer', 'EXAMPLES')
1913 ('/lib/ansible/modules/include_vars.py', 'module_initializer', 'RETURN')
1914 ('/lib/ansible/modules/known_hosts.py', 'module_initializer', '__metaclass__')
1915 ('/lib/ansible/modules/known_hosts.py', 'module_initializer', 'DOCUMENTATION')
1916 ('/lib/ansible/modules/known_hosts.py', 'module_initializer', 'EXAMPLES')
1917 ('/lib/ansible/modules/apt_key.py', 'module_initializer', '__metaclass__')
1918 ('/lib/ansible/modules/apt_key.py', 'module_initializer', 'DOCUMENTATION')
1919 ('/lib/ansible/modules/apt_key.py', 'module_initializer', 'EXAMPLES')
1920 ('/lib/ansible/modules/apt_key.py', 'module_initializer', 'apt_key_bin')
1921 ('/lib/ansible/modules/assemble.py', 'module_initializer', '__metaclass__')
1922 ('/lib/ansible/modules/assemble.py', 'module_initializer', 'DOCUMENTATION')
1923 ('/lib/ansible/modules/assemble.py', 'module_initializer', 'EXAMPLES')
1924 ('/lib/ansible/modules/yum.py', 'module_initializer', '__metaclass__')
1925 ('/lib/ansible/modules/yum.py', 'module_initializer', 'DOCUMENTATION')
1926 ('/lib/ansible/modules/yum.py', 'module_initializer', 'EXAMPLES')
1927 ('/lib/ansible/modules/yum.py', 'module_initializer', 'HAS_RPM_PYTHON')
1928 ('/lib/ansible/modules/yum.py', 'module_initializer', 'HAS_YUM_PYTHON')
1929 ('/lib/ansible/modules/yum.py', 'module_initializer', 'transaction_helpers')
1930 ('/lib/ansible/modules/yum.py', 'module_initializer', 'def_qf')
1931 ('/lib/ansible/modules/yum.py', 'module_initializer', 'rpmbin')
1932 ('/lib/ansible/modules/fail.py', 'module_initializer', '__metaclass__')
1933 ('/lib/ansible/modules/fail.py', 'module_initializer', 'DOCUMENTATION')
1934 ('/lib/ansible/modules/fail.py', 'module_initializer', 'EXAMPLES')
1935 ('/lib/ansible/modules/sysvinit.py', 'module_initializer', '__metaclass__')
1936 ('/lib/ansible/modules/sysvinit.py', 'module_initializer', 'DOCUMENTATION')
1937 ('/lib/ansible/modules/sysvinit.py', 'module_initializer', 'EXAMPLES')
1938 ('/lib/ansible/modules/sysvinit.py', 'module_initializer', 'RETURN')
1939 ('/lib/ansible/modules/dnf.py', 'module_initializer', '__metaclass__')
1940 ('/lib/ansible/modules/dnf.py', 'module_initializer', 'DOCUMENTATION')
1941 ('/lib/ansible/modules/dnf.py', 'module_initializer', 'EXAMPLES')
1942 ('/lib/ansible/modules/dnf.py', 'module_initializer', 'HAS_DNF')
1943 ('/lib/ansible/modules/file.py', 'module_initializer', '__metaclass__')
1944 ('/lib/ansible/modules/file.py', 'module_initializer', 'DOCUMENTATION')
1945 ('/lib/ansible/modules/file.py', 'module_initializer', 'EXAMPLES')
1946 ('/lib/ansible/modules/file.py', 'module_initializer', 'RETURN')
1947 ('/lib/ansible/modules/file.py', 'module_initializer', 'module')
1948 ('/lib/ansible/modules/setup.py', 'module_initializer', '__metaclass__')
1949 ('/lib/ansible/modules/setup.py', 'module_initializer', 'DOCUMENTATION')
1950 ('/lib/ansible/modules/setup.py', 'module_initializer', 'EXAMPLES')
1951 ('/lib/ansible/modules/service_facts.py', 'module_initializer', '__metaclass__')
1952 ('/lib/ansible/modules/service_facts.py', 'module_initializer', 'DOCUMENTATION')
1953 ('/lib/ansible/modules/service_facts.py', 'module_initializer', 'EXAMPLES')
1954 ('/lib/ansible/modules/service_facts.py', 'module_initializer', 'RETURN')
1955 ('/lib/ansible/modules/set_fact.py', 'module_initializer', '__metaclass__')
1956 ('/lib/ansible/modules/set_fact.py', 'module_initializer', 'DOCUMENTATION')
1957 ('/lib/ansible/modules/set_fact.py', 'module_initializer', 'EXAMPLES')
1958 ('/lib/ansible/modules/lineinfile.py', 'module_initializer', '__metaclass__')
1959 ('/lib/ansible/modules/lineinfile.py', 'module_initializer', 'DOCUMENTATION')
1960 ('/lib/ansible/modules/lineinfile.py', 'module_initializer', 'EXAMPLES')
1961 ('/lib/ansible/modules/pause.py', 'module_initializer', '__metaclass__')
1962 ('/lib/ansible/modules/pause.py', 'module_initializer', 'DOCUMENTATION')
1963 ('/lib/ansible/modules/pause.py', 'module_initializer', 'EXAMPLES')
1964 ('/lib/ansible/modules/pause.py', 'module_initializer', 'RETURN')
1965 ('/lib/ansible/modules/blockinfile.py', 'module_initializer', '__metaclass__')
1966 ('/lib/ansible/modules/blockinfile.py', 'module_initializer', 'DOCUMENTATION')
1967 ('/lib/ansible/modules/blockinfile.py', 'module_initializer', 'EXAMPLES')
1968 ('/lib/ansible/modules/import_playbook.py', 'module_initializer', '__metaclass__')
1969 ('/lib/ansible/modules/import_playbook.py', 'module_initializer', 'DOCUMENTATION')
1970 ('/lib/ansible/modules/import_playbook.py', 'module_initializer', 'EXAMPLES')
1971 ('/lib/ansible/modules/import_playbook.py', 'module_initializer', 'RETURN')
1972 ('/lib/ansible/modules/debug.py', 'module_initializer', '__metaclass__')
1973 ('/lib/ansible/modules/debug.py', 'module_initializer', 'DOCUMENTATION')
1974 ('/lib/ansible/modules/debug.py', 'module_initializer', 'EXAMPLES')
1975 ('/lib/ansible/modules/uri.py', 'module_initializer', '__metaclass__')
1976 ('/lib/ansible/modules/uri.py', 'module_initializer', 'DOCUMENTATION')
1977 ('/lib/ansible/modules/uri.py', 'module_initializer', 'EXAMPLES')
1978 ('/lib/ansible/modules/uri.py', 'module_initializer', 'RETURN')
1979 ('/lib/ansible/modules/uri.py', 'module_initializer', 'JSON_CANDIDATES')
1980 ('/lib/ansible/modules/uri.py', 'module_initializer', 'NO_MODIFY_KEYS')
1981 ('/lib/ansible/modules/rpm_key.py', 'module_initializer', '__metaclass__')
1982 ('/lib/ansible/modules/rpm_key.py', 'module_initializer', 'DOCUMENTATION')
1983 ('/lib/ansible/modules/rpm_key.py', 'module_initializer', 'EXAMPLES')
1984 ('/lib/ansible/modules/stat.py', 'module_initializer', '__metaclass__')
1985 ('/lib/ansible/modules/stat.py', 'module_initializer', 'DOCUMENTATION')
1986 ('/lib/ansible/modules/stat.py', 'module_initializer', 'EXAMPLES')
1987 ('/lib/ansible/modules/stat.py', 'module_initializer', 'RETURN')
1988 ('/lib/ansible/modules/apt.py', 'module_initializer', '__metaclass__')
1989 ('/lib/ansible/modules/apt.py', 'module_initializer', 'DOCUMENTATION')
1990 ('/lib/ansible/modules/apt.py', 'module_initializer', 'EXAMPLES')
1991 ('/lib/ansible/modules/apt.py', 'module_initializer', 'RETURN')
1992 ('/lib/ansible/modules/apt.py', 'module_initializer', 'APT_ENV_VARS')
1993 ('/lib/ansible/modules/apt.py', 'module_initializer', 'DPKG_OPTIONS')
1994 ('/lib/ansible/modules/apt.py', 'module_initializer', 'APT_GET_ZERO')
1995 ('/lib/ansible/modules/apt.py', 'module_initializer', 'APTITUDE_ZERO')
1996 ('/lib/ansible/modules/apt.py', 'module_initializer', 'APT_LISTS_PATH')
1997 ('/lib/ansible/modules/apt.py', 'module_initializer', 'APT_UPDATE_SUCCESS_STAMP_PATH')
1998 ('/lib/ansible/modules/apt.py', 'module_initializer', 'APT_MARK_INVALID_OP')
1999 ('/lib/ansible/modules/apt.py', 'module_initializer', 'APT_MARK_INVALID_OP_DEB6')
2000 ('/lib/ansible/modules/apt.py', 'module_initializer', 'CLEAN_OP_CHANGED_STR')
2001 ('/lib/ansible/modules/apt.py', 'module_initializer', 'HAS_PYTHON_APT')
2002 ('/lib/ansible/modules/apt.py', 'module_initializer', 'PYTHON_APT')
2003 ('/lib/ansible/modules/import_role.py', 'module_initializer', '__metaclass__')
2004 ('/lib/ansible/modules/import_role.py', 'module_initializer', 'DOCUMENTATION')
2005 ('/lib/ansible/modules/import_role.py', 'module_initializer', 'EXAMPLES')
2006 ('/lib/ansible/modules/import_role.py', 'module_initializer', 'RETURN')
2007 ('/lib/ansible/modules/reboot.py', 'module_initializer', '__metaclass__')
2008 ('/lib/ansible/modules/reboot.py', 'module_initializer', 'DOCUMENTATION')
2009 ('/lib/ansible/modules/reboot.py', 'module_initializer', 'EXAMPLES')
2010 ('/lib/ansible/modules/reboot.py', 'module_initializer', 'RETURN')
2011 ('/lib/ansible/modules/include.py', 'module_initializer', '__metaclass__')
2012 ('/lib/ansible/modules/include.py', 'module_initializer', 'DOCUMENTATION')
2013 ('/lib/ansible/modules/include.py', 'module_initializer', 'EXAMPLES')
2014 ('/lib/ansible/modules/include.py', 'module_initializer', 'RETURN')
2015 ('/lib/ansible/modules/group.py', 'module_initializer', '__metaclass__')
2016 ('/lib/ansible/modules/group.py', 'module_initializer', 'DOCUMENTATION')
2017 ('/lib/ansible/modules/group.py', 'module_initializer', 'EXAMPLES')
2018 ('/lib/ansible/modules/group.py', 'module_initializer', 'RETURN')
2019 ('/lib/ansible/modules/group.py', 'Group_class_initializer', 'platform')
2020 ('/lib/ansible/modules/group.py', 'Group_class_initializer', 'distribution')
2021 ('/lib/ansible/modules/group.py', 'Group_class_initializer', 'GROUPFILE')
2022 ('/lib/ansible/modules/group.py', 'SunOS_class_initializer', 'platform')
2023 ('/lib/ansible/modules/group.py', 'SunOS_class_initializer', 'distribution')
2024 ('/lib/ansible/modules/group.py', 'SunOS_class_initializer', 'GROUPFILE')
2025 ('/lib/ansible/modules/group.py', 'AIX_class_initializer', 'platform')
2026 ('/lib/ansible/modules/group.py', 'AIX_class_initializer', 'distribution')
2027 ('/lib/ansible/modules/group.py', 'AIX_class_initializer', 'GROUPFILE')
2028 ('/lib/ansible/modules/group.py', 'FreeBsdGroup_class_initializer', 'platform')
2029 ('/lib/ansible/modules/group.py', 'FreeBsdGroup_class_initializer', 'distribution')
2030 ('/lib/ansible/modules/group.py', 'FreeBsdGroup_class_initializer', 'GROUPFILE')
2031 ('/lib/ansible/modules/group.py', 'DragonFlyBsdGroup_class_initializer', 'platform')
2032 ('/lib/ansible/modules/group.py', 'DarwinGroup_class_initializer', 'platform')
2033 ('/lib/ansible/modules/group.py', 'DarwinGroup_class_initializer', 'distribution')
2034 ('/lib/ansible/modules/group.py', 'OpenBsdGroup_class_initializer', 'platform')
2035 ('/lib/ansible/modules/group.py', 'OpenBsdGroup_class_initializer', 'distribution')
2036 ('/lib/ansible/modules/group.py', 'OpenBsdGroup_class_initializer', 'GROUPFILE')
2037 ('/lib/ansible/modules/group.py', 'NetBsdGroup_class_initializer', 'platform')
2038 ('/lib/ansible/modules/group.py', 'NetBsdGroup_class_initializer', 'distribution')
2039 ('/lib/ansible/modules/group.py', 'NetBsdGroup_class_initializer', 'GROUPFILE')
2040 ('/lib/ansible/modules/group.py', 'AlpineGroup_class_initializer', 'platform')
2041 ('/lib/ansible/modules/group.py', 'AlpineGroup_class_initializer', 'distribution')
2042 ('/lib/ansible/modules/template.py', 'module_initializer', '__metaclass__')
2043 ('/lib/ansible/modules/template.py', 'module_initializer', 'DOCUMENTATION')
2044 ('/lib/ansible/modules/template.py', 'module_initializer', 'EXAMPLES')
2045 ('/lib/ansible/modules/find.py', 'module_initializer', '__metaclass__')
2046 ('/lib/ansible/modules/find.py', 'module_initializer', 'DOCUMENTATION')
2047 ('/lib/ansible/modules/find.py', 'module_initializer', 'EXAMPLES')
2048 ('/lib/ansible/modules/find.py', 'module_initializer', 'RETURN')
2049 ('/lib/ansible/modules/subversion.py', 'module_initializer', '__metaclass__')
2050 ('/lib/ansible/modules/subversion.py', 'module_initializer', 'DOCUMENTATION')
2051 ('/lib/ansible/modules/subversion.py', 'module_initializer', 'EXAMPLES')
2052 ('/lib/ansible/modules/iptables.py', 'module_initializer', '__metaclass__')
2053 ('/lib/ansible/modules/iptables.py', 'module_initializer', 'DOCUMENTATION')
2054 ('/lib/ansible/modules/iptables.py', 'module_initializer', 'EXAMPLES')
2055 ('/lib/ansible/modules/iptables.py', 'module_initializer', 'IPTABLES_WAIT_SUPPORT_ADDED')
2056 ('/lib/ansible/modules/iptables.py', 'module_initializer', 'IPTABLES_WAIT_WITH_SECONDS_SUPPORT_ADDED')
2057 ('/lib/ansible/modules/iptables.py', 'module_initializer', 'BINS')
2058 ('/lib/ansible/modules/iptables.py', 'module_initializer', 'ICMP_TYPE_OPTIONS')
2059 ('/lib/ansible/modules/pip.py', 'module_initializer', '__metaclass__')
2060 ('/lib/ansible/modules/pip.py', 'module_initializer', 'DOCUMENTATION')
2061 ('/lib/ansible/modules/pip.py', 'module_initializer', 'EXAMPLES')
2062 ('/lib/ansible/modules/pip.py', 'module_initializer', 'RETURN')
2063 ('/lib/ansible/modules/pip.py', 'module_initializer', 'SETUPTOOLS_IMP_ERR')
2064 ('/lib/ansible/modules/pip.py', 'module_initializer', 'HAS_SETUPTOOLS')
2065 ('/lib/ansible/modules/pip.py', 'module_initializer', '_SPECIAL_PACKAGE_CHECKERS')
2066 ('/lib/ansible/modules/pip.py', 'module_initializer', '_VCS_RE')
2067 ('/lib/ansible/modules/pip.py', 'module_initializer', 'op_dict')
2068 ('/lib/ansible/modules/pip.py', 'Package_class_initializer', '_CANONICALIZE_RE')
2069 ('/lib/ansible/modules/get_url.py', 'module_initializer', '__metaclass__')
2070 ('/lib/ansible/modules/get_url.py', 'module_initializer', 'DOCUMENTATION')
2071 ('/lib/ansible/modules/get_url.py', 'module_initializer', 'EXAMPLES')
2072 ('/lib/ansible/modules/get_url.py', 'module_initializer', 'RETURN')
2073 ('/lib/ansible/modules/script.py', 'module_initializer', '__metaclass__')
2074 ('/lib/ansible/modules/script.py', 'module_initializer', 'DOCUMENTATION')
2075 ('/lib/ansible/modules/script.py', 'module_initializer', 'EXAMPLES')
2076 ('/lib/ansible/modules/unarchive.py', 'module_initializer', '__metaclass__')
2077 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'DOCUMENTATION')
2078 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'EXAMPLES')
2079 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'OWNER_DIFF_RE')
2080 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'GROUP_DIFF_RE')
2081 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'MODE_DIFF_RE')
2082 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'MOD_TIME_DIFF_RE')
2083 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'EMPTY_FILE_RE')
2084 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'MISSING_FILE_RE')
2085 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'ZIP_FILE_MODE_RE')
2086 ('/lib/ansible/modules/unarchive.py', 'module_initializer', 'INVALID_OWNER_RE')
