0 ('/setup.py', 'module_initializer', 'project_root')
85 ('/mtgjson5/set_builder.py', 'relocate_miscellaneous_tokens', 'tokens_found')
86 ('/mtgjson5/set_builder.py', 'relocate_miscellaneous_tokens', 'card')
87 ('/mtgjson5/set_builder.py', 'relocate_miscellaneous_tokens', 'scryfall_id')
88 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'set_code')
89 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'mtgjson_cards')
90 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'land_pile_marked')
91 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'side_letter_as_number')
92 ('/mtgjson5/set_builder.py', 'mark_duel_decks', '_type')
93 ('/mtgjson5/set_builder.py', 'mark_duel_decks', 'card')
94 ('/mtgjson5/set_builder.py', 'parse_keyrune_code', 'url')
95 ('/mtgjson5/set_builder.py', 'parse_keyrune_code', 'file_stem')
96 ('/mtgjson5/set_builder.py', 'parse_keyrune_code', 'upstream_to_keyrune_map')
97 ('/mtgjson5/set_builder.py', 'build_mtgjson_set', 'set_code')
98 ('/mtgjson5/set_builder.py', 'build_mtgjson_set', 'mtgjson_set')
99 ('/mtgjson5/set_builder.py', 'build_mtgjson_set', 'set_data')
100 ('/mtgjson5/set_builder.py', 'build_mtgjson_set', 'base_total_sizes')
101 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_tokens', 'set_code')
102 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_tokens', 'added_tokens')
103 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'set_code')
104 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'additional_cards')
105 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'is_token')
106 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'set_release_date')
107 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'cards')
108 ('/mtgjson5/set_builder.py', 'build_base_mtgjson_cards', 'mtgjson_cards')
109 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'set_code')
110 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'search_url')
111 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'mtgjson_cards')
112 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'starter_card_url')
113 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'starter_cards')
114 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'mtgjson_cards_with_same_id')
115 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'item')
116 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'card')
117 ('/mtgjson5/set_builder.py', 'add_is_starter_option', 'scryfall_object')
118 ('/mtgjson5/set_builder.py', 'add_leadership_skills', 'mtgjson_card')
119 ('/mtgjson5/set_builder.py', 'add_leadership_skills', 'is_commander_legal')
120 ('/mtgjson5/set_builder.py', 'add_leadership_skills', 'is_oathbreaker_legal')
121 ('/mtgjson5/set_builder.py', 'add_leadership_skills', 'is_brawl_legal')
122 ('/mtgjson5/set_builder.py', 'add_uuid', 'mtgjson_card')
123 ('/mtgjson5/set_builder.py', 'add_uuid', 'id_source_v5')
124 ('/mtgjson5/set_builder.py', 'add_uuid', 'id_source_v4')
125 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'scryfall_object')
126 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'face_id')
127 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'is_token')
128 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'set_release_date')
129 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'mtgjson_cards')
130 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'mtgjson_card')
131 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'face_data')
132 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'card_face')
133 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'i')
134 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'card_type')
135 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'card_release_date')
136 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'type_line')
137 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'ascii_name')
138 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'face_names')
139 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'face_illustration_ids')
140 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'index')
141 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'card_types')
142 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'keyword')
143 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'meld_object')
144 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'a_part')
145 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'reverse_related')
146 ('/mtgjson5/set_builder.py', 'build_mtgjson_card', 'gatherer_cards')
147 ('/mtgjson5/set_builder.py', 'add_variations_and_alternative_fields', 'mtgjson_set')
148 ('/mtgjson5/set_builder.py', 'add_variations_and_alternative_fields', 'other_card')
149 ('/mtgjson5/set_builder.py', 'add_variations_and_alternative_fields', 'variations')
150 ('/mtgjson5/set_builder.py', 'add_variations_and_alternative_fields', 'item')
151 ('/mtgjson5/set_builder.py', 'add_variations_and_alternative_fields', 'card_number')
152 ('/mtgjson5/set_builder.py', 'add_variations_and_alternative_fields', 'this_card')
153 ('/mtgjson5/set_builder.py', 'add_card_kingdom_details', 'mtgjson_set')
154 ('/mtgjson5/set_builder.py', 'add_card_kingdom_details', 'translation_table')
155 ('/mtgjson5/set_builder.py', 'add_card_kingdom_details', 'entry')
156 ('/mtgjson5/set_builder.py', 'add_card_kingdom_details', 'mtgjson_card')
157 ('/mtgjson5/set_builder.py', 'add_mcm_details', 'mtgjson_set')
158 ('/mtgjson5/set_builder.py', 'add_mcm_details', 'mkm_cards')
159 ('/mtgjson5/set_builder.py', 'add_mcm_details', 'extras_cards')
160 ('/mtgjson5/set_builder.py', 'add_mcm_details', 'delete_key')
161 ('/mtgjson5/set_builder.py', 'add_mcm_details', 'search_cards')
162 ('/mtgjson5/set_builder.py', 'add_mcm_details', 'card_key')
163 ('/mtgjson5/set_builder.py', 'add_mcm_details', 'mkm_card')
164 ('/mtgjson5/set_builder.py', 'add_mcm_details', 'mkm_obj')
165 ('/mtgjson5/set_builder.py', 'add_mcm_details', 'mtgjson_card')
166 ('/mtgjson5/set_builder.py', 'get_base_and_total_set_sizes', 'set_code')
167 ('/mtgjson5/set_builder.py', 'get_base_and_total_set_sizes', 'base_set_size_override')
168 ('/mtgjson5/set_builder.py', 'get_base_and_total_set_sizes', 'base_set_size')
169 ('/mtgjson5/set_builder.py', 'get_base_and_total_set_sizes', 'base_set_size_download')
170 ('/mtgjson5/set_builder.py', 'get_base_and_total_set_sizes', 'total_set_size')
171 ('/mtgjson5/set_builder.py', 'module_initializer', 'LOGGER')
