0 ('/invoke/context.py', '_prefix_commands', '_prefix_commands_ret')
99 ('/invoke/config.py', '__contains__', '__contains___ret')
100 ('/invoke/config.py', '__eq__', '__eq___ret')
101 ('/invoke/config.py', '__getattr__', '__getattr___ret')
102 ('/invoke/config.py', '__getitem__', '__getitem___ret')
103 ('/invoke/config.py', '__iter__', '__iter___ret')
104 ('/invoke/config.py', '__len__', '__len___ret')
105 ('/invoke/config.py', '__repr__', '__repr___ret')
106 ('/invoke/config.py', '_get', '_get_ret')
107 ('/invoke/config.py', 'from_data', 'from_data_ret')
108 ('/invoke/config.py', 'pop', 'pop_ret')
109 ('/invoke/config.py', 'popitem', 'popitem_ret')
110 ('/invoke/config.py', 'setdefault', 'setdefault_ret')
111 ('/invoke/config.py', '_format_mismatch', '_format_mismatch_ret')
112 ('/invoke/config.py', '_merge_error', '_merge_error_ret')
113 ('/invoke/config.py', 'copy_dict', 'copy_dict_ret')
114 ('/invoke/config.py', 'load_source', 'load_source_ret')
115 ('/invoke/config.py', 'merge_dicts', 'merge_dicts_ret')
116 ('/invoke/watchers.py', 'submit', 'submit_ret')
117 ('/invoke/watchers.py', 'pattern_matches', 'pattern_matches_ret')
118 ('/invoke/tasks.py', '__deepcopy__', '__deepcopy___ret')
119 ('/invoke/tasks.py', '__eq__', '__eq___ret')
120 ('/invoke/tasks.py', '__getattr__', '__getattr___ret')
121 ('/invoke/tasks.py', '__repr__', '__repr___ret')
122 ('/invoke/tasks.py', 'clone', 'clone_ret')
123 ('/invoke/tasks.py', 'clone_data', 'clone_data_ret')
124 ('/invoke/tasks.py', 'make_context', 'make_context_ret')
125 ('/invoke/tasks.py', '__call__', '__call___ret')
126 ('/invoke/tasks.py', '__hash__', '__hash___ret')
127 ('/invoke/tasks.py', 'arg_opts', 'arg_opts_ret')
128 ('/invoke/tasks.py', 'argspec', 'argspec_ret')
129 ('/invoke/tasks.py', 'fill_implicit_positionals', 'fill_implicit_positionals_ret')
130 ('/invoke/tasks.py', 'get_arguments', 'get_arguments_ret')
131 ('/invoke/tasks.py', 'call', 'call_ret')
132 ('/invoke/tasks.py', 'task', 'task_ret')
133 ('/invoke/env.py', '_cast', '_cast_ret')
134 ('/invoke/env.py', '_crawl', '_crawl_ret')
135 ('/invoke/env.py', '_path_get', '_path_get_ret')
136 ('/invoke/env.py', '_to_env_var', '_to_env_var_ret')
137 ('/invoke/env.py', 'load', 'load_ret')
138 ('/invoke/completion/complete.py', 'complete', 'complete_ret')
139 ('/invoke/parser/context.py', '__repr__', '__repr___ret')
140 ('/invoke/parser/context.py', 'flag_names', 'flag_names_ret')
141 ('/invoke/parser/context.py', 'help_for', 'help_for_ret')
142 ('/invoke/parser/context.py', 'help_tuples', 'help_tuples_ret')
143 ('/invoke/parser/context.py', 'names_for', 'names_for_ret')
144 ('/invoke/parser/context.py', 'flag_key', 'flag_key_ret')
145 ('/invoke/parser/context.py', 'sort_candidate', 'sort_candidate_ret')
146 ('/invoke/parser/context.py', 'to_flag', 'to_flag_ret')
147 ('/invoke/parser/context.py', 'translate_underscores', 'translate_underscores_ret')
148 ('/invoke/parser/parser.py', 'check_ambiguity', 'check_ambiguity_ret')
149 ('/invoke/parser/parser.py', 'error', 'error_ret')
150 ('/invoke/parser/parser.py', 'parse_argv', 'parse_argv_ret')
151 ('/invoke/parser/parser.py', 'is_flag', 'is_flag_ret')
152 ('/invoke/parser/parser.py', 'is_long_flag', 'is_long_flag_ret')
153 ('/invoke/parser/argument.py', '__repr__', '__repr___ret')
154 ('/invoke/vendor/decorator.py', '__call__', '__call___ret')
155 ('/invoke/vendor/decorator.py', '__init__', '__init___ret')
156 ('/invoke/vendor/decorator.py', 'create', 'create_ret')
157 ('/invoke/vendor/decorator.py', 'make', 'make_ret')
158 ('/invoke/vendor/decorator.py', 'decorate', 'decorate_ret')
159 ('/invoke/vendor/decorator.py', 'decorator', 'decorator_ret')
160 ('/invoke/vendor/decorator.py', 'dispatch_on', 'dispatch_on_ret')
161 ('/invoke/vendor/decorator.py', 'get_init', 'get_init_ret')
162 ('/invoke/vendor/decorator.py', 'getargspec', 'getargspec_ret')
163 ('/invoke/vendor/decorator.py', 'getfullargspec', 'getfullargspec_ret')
164 ('/invoke/vendor/six.py', '__dir__', '__dir___ret')
165 ('/invoke/vendor/six.py', '_resolve', '_resolve_ret')
166 ('/invoke/vendor/six.py', '__getattr__', '__getattr___ret')
167 ('/invoke/vendor/six.py', '__get__', '__get___ret')
168 ('/invoke/vendor/six.py', '_get_module', '_get_module_ret')
169 ('/invoke/vendor/six.py', 'find_module', 'find_module_ret')
170 ('/invoke/vendor/six.py', 'is_package', 'is_package_ret')
171 ('/invoke/vendor/six.py', 'load_module', 'load_module_ret')
172 ('/invoke/vendor/six.py', '_import_module', '_import_module_ret')
173 ('/invoke/vendor/six.py', 'add_metaclass', 'add_metaclass_ret')
174 ('/invoke/vendor/six.py', 'advance_iterator', 'advance_iterator_ret')
175 ('/invoke/vendor/six.py', 'assertCountEqual', 'assertCountEqual_ret')
176 ('/invoke/vendor/six.py', 'assertRaisesRegex', 'assertRaisesRegex_ret')
177 ('/invoke/vendor/six.py', 'assertRegex', 'assertRegex_ret')
178 ('/invoke/vendor/six.py', 'b', 'b_ret')
179 ('/invoke/vendor/six.py', 'callable', 'callable_ret')
180 ('/invoke/vendor/six.py', 'create_unbound_method', 'create_unbound_method_ret')
